Ticker,Company,Industry,Sector,PE Ratio,Forward PE,DividendYield,Target Price,Price Percent to Target,Total Return,Current Price,Market Cap. (USD),IV,Sharpe Ratio,ETF,S&P 500,DJIA,Nasdaq 100
BRCC,   Brc Inc,Packaged Foods,Consumer Defensive,0,73.647,0,4.5,43.77,43.77,3.13,665876200,71.33,0.6,,,,
BRDG,   Bridge Inv Gp,Asset Management,Financial Services,0,11.169,4.08,11,12.59,16.67,9.77,1182951600,34.38,0.5,,,,
BRFH,   Barfresh Fd Grp,Beverages—Non-Alcoholic,Consumer Defensive,0,-48.833,0,5.25,79.18,79.18,2.93,43217500,33.17,2.4,,,,
BRFS,   Brf-Brasil Food,Packaged Foods,Consumer Defensive,11.5,1.432,0,5,14.42,14.42,4.37,4730393900,49.06,0.3,,,,
BRKL,   Brookline Bc,Banks—Regional,Financial Services,15.072,11.557,4.27,12,-4.08,0.19,12.51,1114641000,36.63,0,,,,
BRKR,   Bruker Corp,Medical Devices,Healthcare,27.802,31.505,0.34,75,30.32,30.66,57.55,8724580000,42.98,0.7,,,,
BRLT,   Brilliant Earth,Luxury Goods,Consumer Cyclical,67,-16.75,0,3,49.25,49.25,2.01,198085500,83.13,0.6,,,,
BRO,   Brown & Brown,Insurance Brokers,Financial Services,30.349,31.307,0.54,117,5.05,5.59,111.38,31850224800,19.31,0.3,XLF,S&P 500,,
BROS,   Dutch Bros Inc,Restaurants,Consumer Cyclical,181.3,98.726,0,52,-4.39,-4.39,54.39,8386394100,43.74,-0.1,,,,
BRSP,   Brightspire Cap,REIT—Mortgage,Real Estate,0,16.662,10.03,7.25,15.26,25.29,6.29,815750100,98.75,0.3,,,,
BRT,   Brt Realty Trst,REIT—Residential,Real Estate,0,-32.05,5.04,21,8.3,13.34,19.39,364725900,27.38,0.5,,,,
BRX,   Brixmor Ppty Gp,REIT—Retail,Real Estate,27.481,30.043,3.86,31,4.45,8.31,29.68,8965140800,19.06,0.4,,,,
BRY,   Berry Corp,Oil & Gas E&P,Energy,3.861,7.651,14.08,6,43.88,57.96,4.17,320839800,47.29,1.2,,,,
BRZE,   Braze Inc,Software—Application,Technology,0,-40.239,0,49,23.83,23.83,39.57,4065026100,71.62,0.3,,,,
BSAC,   Banco Sant -Adr,Banks—Regional,Financial Services,10.503,9.017,3.95,22,14.46,18.41,19.22,9054926400,34.595,0.5,,,,
BSBR,   Banco Sant-Ads,Banks—Regional,Financial Services,15.519,5.54,7.36,6.25,49.16,56.52,4.19,15595473300,26.25,2.2,,,,
BSET,   Bassett Furnitr,"Furnishings, Fixtures & Appliances",Consumer Cyclical,0,22.667,5.2,19,24.18,29.38,15.3,134640000,33.59,0.9,,,,
BSGM,   Biosig Technlgs,Medical Devices,Healthcare,0,-2.263,0,2.5,45.35,45.35,1.72,29463600,176.25,0.3,,,,
BSIG,   Brightspher Inv,Asset Management,Financial Services,18.854,10.65,0.13,30,-2.98,-2.85,30.92,1153934400,38.33,-0.1,,,,
BSM,   Black Stone Mnl,Oil & Gas E&P,Energy,9.58,10.981,9.63,14,-9.79,-0.16,15.52,3270064000,17.14,0,,,,
BSRR,   Sierra Bancorp,Banks—Regional,Financial Services,12.222,10.938,3.01,30.5,-0.97,2.04,30.8,443212000,26.02,0.1,,,,
BSVN,   Bank7 Corp,Banks—Regional,Financial Services,12.361,11.483,1.84,46,-1.81,0.03,46.85,437579000,47.003,0,,,,
BSX,   Boston Scientif,Medical Devices,Healthcare,74.769,47.827,0,98,8.32,8.32,90.47,1.33E+11,21.53,0.4,XLV,S&P 500,,
BSY,   Bentley Systems,Software—Application,Technology,44.568,54.845,0.48,60.5,22.3,22.78,49.47,14381423700,29.59,0.8,,,,
BTCS,   Btcs Inc,Capital Markets,Financial Services,11.759,0,0,3,-12.02,-12.02,3.41,58072300,83.085,-0.1,,,,
BTCT,   Btc Digital Ltd,Computer Hardware,Technology,0,-2.088,0,21.52,46.61,46.61,14.68,48444000,83.085,0.6,,,,
BTDR,   Bitdeer Tec Grp,Software—Application,Technology,0,-184.875,0,15,1.42,1.42,14.79,1656036300,122.62,0,,,,
BTG,   B2Gold Corp,Gold,Basic Materials,0,6.747,5.8,4,42.86,48.66,2.8,3676680000,60.71,0.8,,,,
BTI,   British Am Tob,Tobacco,Consumer Defensive,0,8.111,8.11,38.38,3.65,11.76,37.03,77004625600,18.25,0.6,,,,
BTM,   Bitcoin Depot,Capital Markets,Financial Services,0,18.778,0,4.25,151.48,151.48,1.69,102059100,83.085,1.8,,,,
BTMD,   Biote Corp,Medical Care Facilities,Healthcare,22.1,13.67,0,9.68,46,46,6.63,360274200,75.539,0.6,,,,
BTSG,   Brightsprng Hlt,Health Information Services,Healthcare,0,30.145,0,21,10.64,10.64,18.98,3304987400,56.19,0.2,,,,
BTTR,   Better Choice,Packaged Foods,Consumer Defensive,0,8.115,0,10,373.93,373.93,2.11,4072300,37.448,10,,,,
BTU,   Peabody Energy,Thermal Coal,Energy,6.211,8.775,1.27,30,27.44,28.71,23.54,2860110000,38.3,0.7,,,,
BUD,   Anheuser-Bu Adr,Beverages—Brewers,Consumer Defensive,16.73,14.053,1.62,72.5,34.58,36.2,53.87,96815164000,23.23,1.6,,,,
BURBY,   Burberry Gp Plc,Luxury Goods,Consumer Cyclical,83,170.882,6.71,4.82,-58.54,-51.83,11.62,4166699600,36.935,-1.4,,,,
BURL,   Burlington Strs,Apparel Retail,Consumer Cyclical,39.372,31.239,0,332,16.15,16.15,285.84,18145123200,38.21,0.4,,,,
BUSE,   First Busey-A,Banks—Regional,Financial Services,13.728,11.856,3.57,30.25,13,16.57,26.77,1522677600,35.64,0.5,,,,
BV,   Brightview Hldg,Specialty Business Services,Industrials,86.75,37.882,0,20,15.27,15.27,17.35,1648250000,58.28,0.3,,,,
BVS,   Bioventus Inc,Medical Devices,Healthcare,0,84.429,0,15,26.9,26.9,11.82,959311200,80.61,0.3,,,,
BW,   Babcock&Wilcox,Specialty Industrial Machinery,Industrials,0,-47.5,0,4.25,123.68,123.68,1.9,179208000,134.92,0.9,,,,
BWA,   Borg Warner Inc,Auto Parts,Consumer Cyclical,8.379,7.557,1.28,42,24.08,25.36,33.85,7402995000,28.54,0.9,XLY,S&P 500,,
BWAY,   Brainsway Ltd,Medical Devices,Healthcare,127.625,110.378,0,13.2,29.29,29.29,10.21,170302800,74.381,0.4,,,,
BWB,   Bridgewater Bcs,Banks—Regional,Financial Services,14.219,11.514,0,18,20.56,20.56,14.93,409529900,41.29,0.5,,,,
BWEN,   Broadwind Enrgy,Specialty Industrial Machinery,Industrials,13.714,9.29,0,4.13,114.84,114.84,1.92,42451200,78.39,1.5,,,,
BWFG,   Bankwell Fin Gp,Banks—Regional,Financial Services,16.769,9.185,2.42,36,10.09,12.51,32.7,257022000,47.003,0.3,,,,
BWIN,   Baldwin Ins Grp,Insurance Brokers,Financial Services,0,193.663,0,50,2.25,2.25,48.9,5749662000,45.26,0,,,,
BWMN,   Bowman Consultg,Engineering & Construction,Industrials,0,82.27,0,35.25,31.43,31.43,26.82,470154600,49.672,0.6,,,,
BWXT,   Bwx Technolgs,Aerospace & Defense,Industrials,42.781,37.571,0.74,137,6.04,6.78,129.2,11814048000,34.04,0.2,,,,
BX,   Blackstone Inc,Asset Management,Financial Services,63.757,32.185,1.84,168.5,-9.49,-7.65,186.17,1.34E+11,32.12,-0.2,XLF,S&P 500,,
BXC,   Bluelinx Hldgs,Industrial Distribution,Industrials,35.833,20.705,0,135,6.42,6.42,126.85,1063003000,42.66,0.2,,,,
BXMT,   Blackstone Mrtg,REIT—Mortgage,Real Estate,0,12.071,9.85,19,1.01,10.86,18.81,3253941900,25.33,0.4,,,,
BXP,   Bxp Inc,REIT—Office,Real Estate,34.848,42.3,4.85,88,9.79,14.64,80.15,12672516500,28.5,0.5,XLRE,S&P 500,,
BY,   Byline Bancorp,Banks—Regional,Financial Services,11.297,12.649,1.15,34,9.04,10.19,31.18,1384080200,31.41,0.3,,,,
BYD,   Boyd Gaming Cp,Resorts & Casinos,Consumer Cyclical,14.07,11.018,0.91,73.5,-0.69,0.22,74.01,6541743900,26.13,0,,,,
BYDDY,   Byd Co Ltd U-Ad,Auto Manufacturers,Consumer Cyclical,20.839,15.459,1.29,88,31.15,32.44,67.1,99911900000,36.935,0.9,,,,
BYND,   Beyond Meat Inc,Packaged Foods,Consumer Defensive,0,-3.044,0,5,2.88,2.88,4.86,316872000,77.16,0,,,,
BYON,   Beyond Inc,Internet Retail,Consumer Cyclical,0,-3.972,0,9,41.96,41.96,6.34,291957000,88.47,0.5,,,,
BYRN,   Byrna Tech Inc,Aerospace & Defense,Industrials,174.091,59.844,0,22.88,19.45,19.45,19.15,435854000,82.56,0.2,,,,
BZH,   Beazer Homes,Residential Construction,Consumer Cyclical,7.667,5.923,0,42.5,22.37,22.37,34.73,1078366500,45.87,0.5,,,,
C,   Citigroup Inc,Banks—Diversified,Financial Services,20.348,9.876,3.05,73,2.21,5.26,71.42,1.35E+11,25.99,0.2,XLF,S&P 500,,
CABO,   Cable One Inc,Telecom Services,Communication Services,9.118,10.867,2.79,467.5,13.84,16.63,410.67,2307965400,56.049,0.3,,,,
CAC,   Camden Ntl Corp,Banks—Regional,Financial Services,14.45,13.793,3.56,43,-7.01,-3.45,46.24,674179200,77.13,0,,,,
CACC,   Credit Accept,Credit Services,Financial Services,32.235,13.851,0,416,-13.68,-13.68,481.91,5835930100,45.24,-0.3,,,,
CACI,   Caci Intl  A,Information Technology Services,Technology,22.493,19.257,0,617.5,36.04,36.04,453.9,10171899000,31.58,1.1,,,,
CADE,   Cadence Bank,Banks—Regional,Financial Services,59.571,13.197,2.63,39,3.92,6.55,37.53,6838716600,33.11,0.2,,,,
CADL,   Candel Therap,Biotechnology,Healthcare,0,30.067,0,11,143.9,143.9,4.51,146484800,220,0.7,,,,
CAE,   Cae Inc,Aerospace & Defense,Industrials,0,16.641,0,30.02,27.04,27.04,23.63,7528281700,33.02,0.8,,,,
CAG,   Conagra Brands,Packaged Foods,Consumer Defensive,27.167,10.401,5.03,31,11.87,16.9,27.71,13225151700,23.45,0.7,XLP,S&P 500,,
CAH,   Cardinal Health,Medical Distribution,Healthcare,23.706,16.886,1.65,130,5.46,7.11,123.27,29832572700,26.76,0.3,XLV,S&P 500,,
CAKE,   Cheesecake Fact,Restaurants,Consumer Cyclical,18.981,13.624,2.18,48,-4.21,-2.03,50.11,2557614400,34.27,-0.1,,,,
CAL,   Caleres Inc,Apparel Retail,Consumer Cyclical,7.028,7.749,0.87,37,13.95,14.82,32.47,1142944000,49.21,0.3,,,,
CALC,   Calcimedica Inc,Biotechnology,Healthcare,0,-1.938,0,16,412.82,412.82,3.12,42057600,102.779,4,,,,
CALM,   Cal-Maine Foods,Farm Products,Consumer Defensive,11.299,30.586,2.96,78,-20.92,-17.96,98.64,4837305600,31.64,-0.6,,,,
CALX,   Calix Inc,Software—Infrastructure,Technology,0,-335,0,45,34.33,34.33,33.5,2221720000,43.29,0.8,,,,
CAMP,   Camp4 Therapt,Biotechnology,Healthcare,0,-1.755,0,20.32,318.87,318.87,4.85,97776000,102.779,3.1,,,,
CAMT,   Camtek Limited,Semiconductor Equipment & Materials,Technology,34.842,26.758,1.69,103.5,36.26,37.95,75.96,3446305200,56.72,0.7,,,,
CAPR,   Capricor Therap,Biotechnology,Healthcare,0,-16.3,0,39,136.22,136.22,16.51,750709700,118.02,1.2,,,,
CAR,   Avis Budget Grp,Rental & Leasing Services,Industrials,9.178,9.341,0,130,26.35,26.35,102.89,3615554600,61.58,0.4,,,,
CARA,   Cara Therapeutc,Biotechnology,Healthcare,0,-0.47,0,1,260.36,260.36,0.28,15360800,102.779,2.5,,,,
CARE,   Carter Bankshrs,Banks—Regional,Financial Services,29.397,5.276,0,23,24.19,24.19,18.52,427256400,38.42,0.6,,,,
CARG,   Cargurus Inc,Auto & Truck Dealerships,Consumer Cyclical,0,29.083,0,40,5.1,5.1,38.06,3947202600,36.55,0.1,,,,
CARR,   Carrier Global,Building Products & Equipment,Industrials,44.459,29.037,1,83,9.82,10.82,75.58,67812643400,30.53,0.4,XLI,S&P 500,,
CARS,   Cars.Com Inc,Auto & Truck Dealerships,Consumer Cyclical,33.797,35.055,0,21,5.32,5.32,19.94,1290915600,42.01,0.1,,,,
CART,   Maplebear Inc,Internet Retail,Consumer Cyclical,4.142,27.244,0,51,16.7,16.7,43.7,11226530000,39.72,0.4,,,,
CASH,   Pathward Finl,Banks—Regional,Financial Services,12.535,9.998,0.24,79,-4.8,-4.56,82.98,2001477600,40.93,-0.1,,,,
CASI,   Casi Pharmaceut,Biotechnology,Healthcare,0,-1.676,0,6,68.07,68.07,3.57,55192200,98.08,0.7,,,,
CASS,   Cass Info Sys,Specialty Business Services,Industrials,26.542,17.625,2.75,45,0.92,3.67,44.59,605086300,27.78,0.1,,,,
CASY,   Caseys Gen Strs,Specialty Retail,Consumer Cyclical,30.409,25.889,0.44,410,-1.8,-1.36,417.52,15498342400,33.23,0,,,,
CAT,   Caterpillar Inc,Farm & Heavy Construction Machinery,Industrials,18.544,18.255,1.4,377,-5.58,-4.18,399.26,1.93E+11,24.69,-0.2,XLI,S&P 500,DJIA,
CATX,   Perspective Thr,Medical Devices,Healthcare,0,-4.149,0,18,350,350,4,270360000,143.44,2.4,,,,
CATY,   Cathay Genl Bcp,Banks—Regional,Financial Services,12.944,12.269,2.62,48,-6.36,-3.74,51.26,3649712000,49.11,-0.1,,,,
CAVA,   Cava Group Inc,Restaurants,Consumer Cyclical,345.951,227.446,0,150,5.75,5.75,141.84,16252027200,49.89,0.1,,,,
CB,   Chubb Ltd,Insurance—Property & Casualty,Financial Services,11.741,11.926,1.26,299,4.45,5.71,286.25,1.15E+11,18.89,0.3,XLF,S&P 500,,
CBAN,   Colony Bankcorp,Banks—Regional,Financial Services,13.992,11.448,2.54,19,7.77,10.31,17.63,309053900,44.85,0.2,,,,
CBAT,   Cbak Energy Tec,Electrical Equipment & Parts,Industrials,7.818,8.528,0,2,113.2,113.2,0.94,84543600,123.13,0.9,,,,
CBDBY,   Companhia Brasl,Department Stores,Consumer Cyclical,0,-4,0,0.57,42.5,42.5,0.4,196072000,45.793,0.9,,,,
CBFV,   Cb Finl Svcs,Banks—Regional,Financial Services,7.45,17.423,3.06,30,-8.9,-5.84,32.93,168601600,47.003,-0.1,,,,
CBL,   Cbl&Assoc Ppty,REIT—Retail,Real Estate,31.297,0,5.08,36,13.89,18.97,31.61,972007500,24.97,0.8,,,,
CBLL,   Ceribell Inc,Medical Devices,Healthcare,0,-25.106,0,31.5,6.89,6.89,29.47,1055615400,82.904,0.1,,,,
CBNA,   Chain Brdg Bncp,Banks—Regional,Financial Services,8.431,13.423,0,28,3.78,3.78,26.98,176988800,39.524,0.1,,,,
CBNK,   Capitol Bancorp,Banks—Regional,Financial Services,12.581,9.838,1.34,30.5,3.6,4.94,29.44,487526400,39.524,0.1,,,,
CBOE,   Cboe Global Mkt,Financial Data & Stock Exchanges,Financial Services,28.939,25.067,1.19,220,3.71,4.9,212.12,22206842800,25.54,0.2,,S&P 500,,
CBRE,   Cbre Group Inc,Real Estate Services,Real Estate,44.379,25.134,0,135.5,-1.19,-1.19,137.13,41964522600,29.23,0,XLRE,S&P 500,,
CBRL,   Cracker Barrel,Restaurants,Consumer Cyclical,30.443,16.226,1.77,45,-19.22,-17.45,55.71,1236762000,61.44,-0.3,,,,
CBSH,   Commerce Bancsh,Banks—Regional,Financial Services,18.784,18.75,1.55,66.67,-3.03,-1.48,68.75,8815812500,30.28,0,,,,
CBT,   Cabot Corp,Specialty Chemicals,Basic Materials,16.458,13.075,1.53,119,7.59,9.12,110.6,6015534000,34.37,0.3,,,,
CBU,   Commnty Fin Sys,Banks—Regional,Financial Services,21.728,17.288,2.66,65,-4.43,-1.77,68.01,3574605600,36.73,0,,,,
CBUS,   Cibus Inc,Biotechnology,Healthcare,0,-0.977,0,21.75,395.44,395.44,4.39,116159400,136.88,2.9,,,,
CBZ,   Cbiz Inc,Specialty Business Services,Industrials,34.511,28.107,0,97,18.6,18.6,81.79,4105040100,30.75,0.6,,,,
CC,   Chemours Compny,Specialty Chemicals,Basic Materials,43.26,9.283,4.62,23,6.33,10.95,21.63,3231738300,46.24,0.2,,,,
CCAP,   Crescent Cap,Asset Management,Financial Services,7.621,9.471,10.52,20,2.51,13.03,19.51,723040600,22.97,0.6,,,,
CCB,   Coastal Finl Cp,Banks—Regional,Financial Services,25.272,13.545,0,74,-1.74,-1.74,75.31,1019697400,59.49,0,,,,
CCBG,   Capital City Bk,Banks—Regional,Financial Services,12.928,13.232,2.32,40,1.78,4.1,39.3,665742000,100.85,0,,,,
CCCC,   C4 Therapeutics,Biotechnology,Healthcare,0,-2.175,0,10,146.31,146.31,4.06,286595400,146.48,1,,,,
CCCS,   Ccc Intelligent,Software—Application,Technology,179.286,121.762,0,13,3.59,3.59,12.55,7850025000,34.99,0.1,,,,
CCEC,   Capital Cln Egy,Marine Shipping,Industrials,8.818,10.211,3.36,22,19.37,22.73,18.43,1020837700,47.6,0.5,,,,
CCEL,   Cryo-Cell Intl,Medical Care Facilities,Healthcare,0,107.188,11.71,9,4.96,16.67,8.58,69154800,54.878,0.3,,,,
CCI,   Crown Castle,REIT—Specialty,Real Estate,37.124,38.479,5.94,118,12.71,18.65,104.69,45498274000,18.94,1,XLRE,S&P 500,,
CCJ,   Cameco Corp,Uranium,Energy,312.579,33.295,0.19,87.17,46.78,46.97,59.39,25845934100,44.55,1.1,,,,
CCK,   Crown Hldgs Inc,Packaging & Containers,Consumer Cyclical,112.207,15.516,1.08,110,19.55,20.63,92.01,11007156300,21.3,1,,,,
CCL,   Carnival Corp,Travel Services,Consumer Cyclical,22.316,15.761,0,26,-0.42,-0.42,26.11,30135378700,46.72,0,XLY,S&P 500,,
CCLD,   Carecloud Inc,Health Information Services,Healthcare,0,-17.2,0,4.85,12.79,12.79,4.3,69875000,102.72,0.1,,,,
CCNE,   Cnb Finl Cp Pa,Banks—Regional,Financial Services,11.953,10.837,2.55,27.5,-1.26,1.29,27.85,584571500,22.97,0.1,,,,
CCO,   Clear Chanl Out,Advertising Agencies,Communication Services,0,-11.202,0,2,28.21,28.21,1.56,762964800,61.4,0.5,,,,
CCOEY,   Capcom Co-Ltd,Electronic Gaming & Multimedia,Communication Services,43.407,0,1.07,14.97,27.73,28.8,11.72,12493754400,80.218,0.4,,,,
CCOI,   Cogent Comm Hld,Telecom Services,Communication Services,116.826,-20.761,4.78,80,-0.76,4.02,80.61,3951502200,34.06,0.1,,,,
CCRD,   Corecard Corp,Software—Application,Technology,44.714,23.815,0,16,-26.97,-26.97,21.91,173089000,59.868,-0.5,,,,
CCRN,   Cross Country,Medical Care Facilities,Healthcare,0,18.867,0,15,34.41,34.41,11.16,367387200,63.2,0.5,,,,
CCS,   Century Communt,Real Estate—Development,Real Estate,8.997,7.27,1.15,110,21.9,23.05,90.24,2828121600,46,0.5,,,,
CCSI,   Consensus Cloud,Software—Infrastructure,Technology,5.586,5.209,0,27,6.01,6.01,25.47,491571000,57.09,0.1,,,,
CDE,   Coeur Mining,Gold,Basic Materials,0,12.218,0,8.5,26.49,26.49,6.72,2682892800,60.02,0.4,,,,
CDLR,   Cadeler As,Engineering & Construction,Industrials,0,12.727,0,34.5,39.73,39.73,24.69,2166300600,47.305,0.8,,,,
CDLX,   Cardlytics Inc,Advertising Agencies,Communication Services,0,-2.715,0,4,2.04,2.04,3.92,199214400,97.35,0,,,,
CDMO,   Avid Bioservics,Biotechnology,Healthcare,0,-176,0,12.5,1.46,1.46,12.32,786016000,87.65,0,,,,
CDNA,   Caredx Inc,Diagnostics & Research,Healthcare,0,-52.881,0,35,40.22,40.22,24.96,1338604800,69.85,0.6,,,,
CDNS,   Cadence Design,Software—Application,Technology,82.652,63.506,0,320,2.15,2.15,313.25,85911945000,33,0.1,XLK,S&P 500,,Nasdaq 100
CDP,   Copt Defense Pr,REIT—Office,Real Estate,26.876,24.48,3.64,36,10.7,14.34,32.52,3664678800,24.6,0.6,,,,
CDRE,   Cadre Hldgs Inc,Aerospace & Defense,Industrials,41.795,25.943,1.02,44,26.84,27.86,34.69,1408760900,38.7,0.7,,,,
CDRO,   Codere Onln Lux,Gambling,Consumer Cyclical,0,-152.762,0,10,24.69,24.69,8.02,363306000,17.58,1.4,,,,
CDTX,   Cidara Theraptc,Biotechnology,Healthcare,0,-1.772,0,25,41.16,41.16,17.71,124855500,113.22,0.4,,,,
CDW,   Cdw Corp,Information Technology Services,Technology,21.96,20.181,1.38,225,25.26,26.64,179.63,23937493800,26.77,1,XLK,S&P 500,,Nasdaq 100
CDXC,   Chromadex Corp,Packaged Foods,Consumer Defensive,380.5,57.434,0,8,5.12,5.12,7.61,581251800,102.4,0.1,,,,
CDXS,   Codexis Inc,Biotechnology,Healthcare,0,-6.942,0,7,46.75,46.75,4.77,388182600,67.61,0.7,,,,
CDZI,   Cadiz Inc,Utilities—Regulated Water,Utilities,0,-12.545,0,15,262.32,262.32,4.14,311245200,91.49,2.9,,,,
CE,   Celanese Corp,Chemicals,Basic Materials,7.221,7.849,3.77,98,35.17,38.94,72.5,7924975000,41.51,0.9,XLB,S&P 500,,
CECO,   Ceco Envirnmntl,Pollution & Treatment Controls,Industrials,97.788,32.985,0,35,8.46,8.46,32.27,1128804600,56.96,0.1,,,,
CEG,   Constellatn Egy,Utilities—Renewable,Utilities,27.319,26.782,0.56,280.5,13.33,13.89,247.51,77413702700,44.68,0.3,XLU,S&P 500,,Nasdaq 100
CEIX,   Consol Energy,Thermal Coal,Energy,9.421,8.195,0.78,135,5.83,6.61,127.56,3748988400,37.52,0.2,,,,
CELC,   Celcuity Inc,Biotechnology,Healthcare,0,-4.083,0,27,115.31,115.31,12.54,465610200,106.79,1.1,,,,
CELH,   Celsius Holding,Beverages—Non-Alcoholic,Consumer Defensive,40.375,30.38,0,44,51.36,51.36,29.07,6832322100,71.78,0.7,,,,
CENT,   Central Garden,Packaged Foods,Consumer Defensive,24.858,16.64,0,42.5,5.54,5.54,40.27,2715003400,31.14,0.2,,,,
CENTA,   Central Gardn-A,Packaged Foods,Consumer Defensive,21.16,0,0,42,22.52,22.52,34.28,2311157600,45.74,0.5,,,,
CENX,   Century Alum Co,Aluminum,Basic Materials,7.6,11.482,0,24,0.25,0.25,23.94,2221632000,66.1,0,,,,
CEPU,   Cent Puerto-Adr,Utilities—Regulated Electric,Utilities,11.336,53.071,6.47,12.5,-11.79,-5.32,14.17,2145338000,53.55,-0.1,,,,
CERS,   Cerus Corp,Medical Devices,Healthcare,0,-23.289,0,4,125.99,125.99,1.77,328724400,59.12,2.1,,,,
CERT,   Certara Inc,Health Information Services,Healthcare,0,225.2,0,15,33.21,33.21,11.26,1812634800,47.94,0.7,,,,
CEVA,   Ceva Inc,Semiconductors,Technology,0,-296.095,0,34.5,10.97,10.97,31.09,734656700,41.45,0.3,,,,
CF,   Cf Indus Hldgs,Agricultural Inputs,Basic Materials,14.919,16.394,2.2,85.11,-9.59,-7.39,94.14,16382242800,27.91,-0.3,XLB,S&P 500,,
CFB,   Crossfirst Bksh,Banks—Regional,Financial Services,11.741,10.259,0,19.5,12.98,12.98,17.26,851263200,49.61,0.3,,,,
CFFN,   Capitol Fedl Fn,Banks—Regional,Financial Services,22.793,12.961,5.03,7,5.9,10.93,6.61,877609700,42.73,0.3,,,,
CFG,   Citizens Fin Gp,Banks—Regional,Financial Services,18.353,12.126,3.57,47.5,1.5,5.07,46.8,20624760000,33.57,0.2,,S&P 500,,
CFLT,   Confluent Inc,Software—Infrastructure,Technology,0,-38.346,0,32,1.49,1.49,31.53,10341840000,53.29,0,,,,
CFR,   Cullen Frost Bk,Banks—Regional,Financial Services,17.273,16.262,2.71,130,-6.74,-4.03,139.39,8939080700,30.28,-0.1,,,,
CG,   Carlyle Grp Inc,Asset Management,Financial Services,174.933,13.219,2.65,54,2.9,5.55,52.48,18771046400,32.58,0.2,,,,
CGAU,   Centerra Gold,Gold,Basic Materials,12.854,7.91,3.35,8.25,33.71,37.06,6.17,1303967800,51.72,0.7,,,,
CGBD,   Carlyle Sec Lnd,Asset Management,Financial Services,9.988,10.158,10.34,17,-1.62,8.72,17.28,879724800,24.07,0.4,,,,
CGC,   Canopy Growth,Drug Manufacturers—Specialty & Generic,Healthcare,0,-2.73,0,5.94,69.33,69.33,3.51,421656300,93.85,0.7,,,,
CGEM,   Cullinan Therap,Biotechnology,Healthcare,0,-3.964,0,33,157.81,157.81,12.8,745344000,102.5,1.5,,,,
CGEMY,   Capgemini Sa,Information Technology Services,Technology,15.881,15.568,2.33,45,40.98,43.31,31.92,27548236800,49.672,0.9,,,,
CGEN,   Compugen Ltd,Biotechnology,Healthcare,51.333,-23.692,0,4,159.74,159.74,1.54,137429600,94.38,1.7,,,,
CGNT,   Cognyte Softwr,Software—Infrastructure,Technology,0,-18.5,0,8.25,-3.06,-3.06,8.51,611783900,65.9,0,,,,
CGNX,   Cognex Corp,Scientific & Technical Instruments,Technology,76.98,41.47,0.79,47,19.71,20.5,39.26,6733875200,37.9,0.5,,,,
CGON,   Cg Oncology,Biotechnology,Healthcare,0,-20.572,0,65.5,87.65,87.65,34.91,2360963300,100.88,0.9,,,,
CHCO,   City Hldgs Co,Banks—Regional,Financial Services,16.692,17.302,2.4,123,-5.53,-3.13,130.2,1913940000,39.524,-0.1,,,,
CHCT,   Comm Hlthcr Tr,REIT—Healthcare Facilities,Real Estate,0,50.676,9.88,20,6.67,16.55,18.75,529500000,35.01,0.5,,,,
CHD,   Church & Dwight,Household & Personal Products,Consumer Defensive,49.532,29.441,1.02,108,-1.78,-0.76,109.96,26940200000,21.54,0,XLP,S&P 500,,
CHDN,   Churchill Downs,Gambling,Consumer Cyclical,25.363,20.357,0.29,164,16.93,17.22,140.26,10309110000,28.75,0.6,,,,
CHE,   Chemed Corp,Medical Care Facilities,Healthcare,28.672,24.812,0.35,650,14.67,15.02,566.84,8530942000,21.5,0.7,,,,
CHEF,   Chefs Warehouse,Food Distribution,Consumer Defensive,38.793,26.919,0,50,11.11,11.11,45,1780200000,38.27,0.3,,,,
CHGG,   Chegg Inc,Education & Training Services,Consumer Defensive,0,-40.23,0,1.63,-33.67,-33.67,2.45,255559500,108.37,-0.3,,,,
CHH,   Choice Htl Intl,Lodging,Consumer Cyclical,28.741,22.26,0.76,127.5,-14.85,-14.09,149.74,7024303400,37.85,-0.4,,,,
CHKP,   Check Pt Softw,Software—Infrastructure,Technology,25.594,22.9,0,200,6.9,6.9,187.09,20576158200,29.82,0.2,,,,
CHMG,   Chemung Finl,Banks—Regional,Financial Services,11.527,9.83,2.37,54,3.65,6.02,52.1,247996000,47.003,0.1,,,,
CHMI,   Cherry Hill Mtg,REIT—Mortgage,Real Estate,0,1.906,18.87,5,90.11,108.98,2.63,83186900,105,1,,,,
CHPT,   Chargepoint Hld,Specialty Retail,Consumer Cyclical,0,-3.162,0,2,72.41,72.41,1.16,500632800,99.33,0.7,,,,
CHRD,   Chord Energy Cp,Oil & Gas E&P,Energy,6.602,8.4,8,182.5,43.16,51.16,127.48,7792852400,37.1,1.4,,,,
CHRS,   Coherus Biosc,Biotechnology,Healthcare,0,-3.266,0,7,309.36,309.36,1.71,197009100,102.68,3,,,,
CHRW,   Ch Robinson Wwd,Integrated Freight & Logistics,Industrials,37.232,22.322,2.34,113,5.02,7.36,107.6,12719396000,33.5,0.2,,S&P 500,,
CHT,   Chunghwa Telecm,Telecom Services,Communication Services,26.248,25.561,3.87,41.67,9.48,13.35,38.06,29525045000,19.77,0.7,,,,
