Ticker,Total Return,Total Return (EPS),Total Return (SPS),Total Return (FCFPS),Total Return (Composite)
BLKB,-3.23,13.14,13.75,81.79,36.23
BLMN,30.27,12.97,33.09,81.74,42.60
BLND,-24.39,-203.58,-31.5,212.35,-7.58
BLNK,107.01,54.07,23.46,-153.64,-25.37
BLTE,20.77,20.77,20.77,20.77,20.77
BLUE,457.88,133.51,159.57,-23.63,89.82
BLX,31.22,16.81,-7.02,107.06,38.95
BLZE,74.17,-502.2,175.98,441.63,38.47
BMBL,-7.83,134.87,-120.47,209.42,74.61
BMEA,482.24,482.24,482.24,482.24,482.24
BMI,-3.77,139.34,16.82,-60.57,31.86
BMO,43.89,4.62,4.62,4.62,4.62
BMRC,1.13,39.36,11.44,66.91,39.24
BMRN,50.34,3.03,49.44,94.32,48.93
BMRRY,79.82,4.43,4.43,4.43,4.43
BMTX,14.41,57.21,75.75,18.39,50.45
BMY,7.94,23.4,-13.79,111.66,40.42
BN,8.71,0.55,0.55,0.55,0.55
BNAI,439.59,937.22,-846.37,61.83,50.89
BNGO,321.94,-35.83,21.05,113.48,32.90
BNL,17.37,-43.23,12.96,149.19,39.64
BNPQY,70.77,8.5,8.5,8.5,8.50
BNS,38.92,5.38,5.38,5.38,5.38
BNTC,209.48,-436.22,-62.04,274.18,-74.69
BNTX,8.54,-307.39,-54.25,410.79,16.38
BOC,42.29,72.16,6.5,94.83,57.83
BOH,-7.01,100.6,8.34,3.3,37.41
BOKF,-0.7,34.94,-10.62,71.05,31.79
BOLT,179.96,117.74,72,-563.24,-124.50
BOOM,57.23,57.42,-25.1,104.43,45.58
BOOT,20.99,67.5,43.27,20.37,43.71
BOSC,44.93,47.6,51.99,39.88,46.49
BOW,-7.85,-7.85,-7.85,-7.85,-7.85
BOWL,45.84,1.77,1.77,1.77,1.77
BOX,1.69,19.66,-1.51,97.28,38.48
BOXL,184.52,63.39,16.86,31.49,37.25
BP,35.96,6.62,6.62,6.62,6.62
BPMC,34.67,21.6,74.19,92.95,62.91
BPOP,7.42,45.07,3.76,81.43,43.42
BPRN,6.6,3.18,3.18,3.18,3.18
BPTSY,424.48,424.48,424.48,424.48,424.48
BR,-1.39,203.12,-22.97,-77.41,34.25
BRAG,101.2,50.19,79.46,87.46,72.37
BRBR,5.39,80.21,67.94,-31.62,38.84
BRC,17.85,29.13,17.82,66,37.65
BRCC,43.77,39.19,-34.57,100.5,35.04
BRDG,16.67,122.26,274.19,-226.68,56.59
BRFH,79.18,24.66,61.72,50.49,45.62
BRFS,14.42,20.98,70.62,92.71,61.44
BRKL,0.19,65.12,24.94,31.9,40.65
BRKR,30.66,73.37,10.11,21.23,34.90
BRLT,49.25,103.42,-42.96,44.05,34.84
BRO,5.59,117.19,-12.19,-7.99,32.34
BROS,-4.39,-144.86,-43.13,134.04,-17.98
BRSP,25.29,-3.53,25.06,100.75,40.76
BRT,13.34,63.29,34.51,59.72,52.51
BRX,8.31,21.77,9.89,85.55,39.07
BRY,57.96,-0.34,-409.21,134.81,-91.58
BRZE,23.83,23.83,23.83,23.83,23.83
BSAC,18.41,13217.21,-26.63,77.09,4422.56
BSBR,56.52,44.24,433.39,74.98,184.20
BSET,29.38,32.86,45.85,97.55,58.75
BSGM,45.35,86.09,16.28,-0.33,34.01
BSIG,-2.85,18.37,32.28,69.02,39.89
BSM,-0.16,13.61,-19.95,122.45,38.70
BSRR,2.04,55.19,-2.08,55.73,36.28
BSVN,0.03,-31.75,-8.59,136,31.89
BSX,8.32,68.17,8.1,89.68,55.32
BSY,22.78,-15.66,67.18,48.48,33.33
BTCS,-12.02,102.33,99.33,-28.71,57.65
BTCT,46.61,-82.95,-1.58,352.08,89.18
BTDR,1.42,1.42,1.42,1.42,1.42
BTG,48.66,43.95,-35.15,106.53,38.44
BTI,11.76,8.11,8.11,8.11,8.11
BTM,151.48,151.48,151.48,151.48,151.48
BTMD,46,34.41,67.06,77.5,59.66
BTSG,10.64,10.64,10.64,10.64,10.64
BTTR,373.93,370.24,365.19,-2716.45,-660.34
BTU,28.71,-74.22,105.03,8.94,13.25
BUD,36.2,1.62,1.62,1.62,1.62
BURBY,-51.83,6.71,6.71,6.71,6.71
BURL,16.15,-4.49,24.02,87.79,35.77
BUSE,16.57,61.73,20.11,93.99,58.61
BV,15.27,43.79,39.02,69.28,50.70
BVS,26.9,-180.87,40.06,102.84,-12.66
BW,123.68,-124.6,689.58,138.36,234.45
BWA,25.36,66.72,-37.64,73.04,34.04
BWAY,29.29,-113.14,95.16,133.08,38.37
BWB,20.56,41.6,27.3,32.33,33.74
BWEN,114.84,27.8,74.71,40.4,47.64
BWFG,12.51,-32.38,2.08,132.8,34.17
BWIN,2.25,-54.36,37.45,128.26,37.12
BWMN,31.43,-6.68,-36.61,131.39,29.37
BWXT,6.78,101.73,29.67,-18.35,37.68
BX,-7.65,17.78,88.28,81.38,62.48
BXC,6.42,-62.74,92.01,142.29,57.19
BXMT,10.86,104.9,51.12,91.12,82.38
BXP,14.64,27.43,-23.59,92.5,32.11
BY,10.19,12.28,-25.77,109.13,31.88
BYD,0.22,58.85,5.3,85.63,49.93
BYDDY,32.44,1.29,1.29,1.29,1.29
BYND,2.88,-324.83,-26.54,215.56,-45.27
BYON,41.96,60.39,1832.26,101.17,664.61
BYRN,19.45,142.78,-18.89,86.1,70.00
BZH,22.37,17.88,63.73,97.54,59.72
C,5.26,39.24,8.37,82.43,43.35
CABO,16.63,94.69,11.05,3.19,36.31
CAC,-3.45,73.84,0.99,34.77,36.53
CACC,-13.68,33.42,-95.46,170.66,36.21
CACI,36.04,129.42,-34.04,1.02,32.13
CADE,6.55,2.63,2.63,2.63,2.63
CADL,143.9,146.47,-146.96,93.57,31.03
CAE,27.04,27.04,27.04,27.04,27.04
CAG,16.9,59.87,34.14,30.7,41.57
CAH,7.11,45.74,26.69,73.36,48.60
CAKE,-2.03,29.85,15.52,77.7,41.02
CAL,14.82,34.85,25.08,78.99,46.31
CALC,412.82,412.82,412.82,412.82,412.82
CALM,-17.96,-30.64,8.8,119.79,32.65
CALX,34.33,122.89,-8.77,105.04,73.05
CAMP,318.87,318.87,318.87,318.87,318.87
CAMT,37.95,4.82,84.03,26.87,38.57
CAPR,136.22,173.19,-103.47,37.13,35.62
CAR,26.35,49.78,22.86,52.76,41.80
CARA,260.36,112.57,-35.3,70.32,49.20
CARE,24.19,0.72,-20.98,101.8,27.18
CARG,5.1,5.95,14.89,86.1,35.65
CARR,10.82,-18.3,-37.66,148.96,31.00
CARS,5.32,-795.47,95.36,7.31,-230.93
CART,16.7,16.7,16.7,16.7,16.70
CASH,-4.56,56.12,-20.42,45.58,27.09
CASI,68.07,71.15,-8.01,44.99,36.04
CASS,3.67,65.5,45.93,-2.6,36.28
CASY,-1.36,132.02,-13.41,-22.55,32.02
CAT,-4.18,72.82,16.69,24.08,37.86
CATX,350,23.84,19.65,77.76,40.42
CATY,-3.74,43.25,3.28,65.7,37.41
CAVA,5.75,5.75,5.75,5.75,5.75
CB,5.71,24.36,-28.78,103.7,33.09
CBAN,10.31,38.27,22.04,68.88,43.06
CBAT,113.2,566.37,52.87,80.53,233.26
CBDBY,42.5,42.5,42.5,42.5,42.50
CBFV,-5.84,11.06,-0.71,99.14,36.50
CBL,18.97,5.08,5.08,5.08,5.08
CBLL,6.89,6.89,6.89,6.89,6.89
CBNA,3.78,3.78,3.78,3.78,3.78
CBNK,4.94,30.29,-0.78,72.49,34.00
CBOE,4.9,27.9,-2.75,78.72,34.62
CBRE,-1.19,5.14,21.02,77.63,34.60
CBRL,-17.45,82.49,5.63,20.16,36.09
CBSH,-1.48,339.92,45.44,-287.55,32.60
CBT,9.12,22.34,15.84,83.33,40.50
CBU,-1.77,161.12,2.4,-58.54,34.99
CBUS,395.44,261.37,-138.7,-173.39,-16.91
CBZ,18.6,63.37,13.14,21.03,32.51
CC,10.95,30.03,23.02,87.29,46.78
CCAP,13.03,10.52,10.52,10.52,10.52
CCB,-1.74,95.24,-20.97,12.08,28.78
CCBG,4.1,47,-15.09,68.5,33.47
CCCC,146.31,-63.3,-40.87,151.26,15.70
CCCS,3.59,10.12,-8.39,103.88,35.20
CCEC,22.73,-8.74,65.18,82.72,46.39
CCEL,16.67,14.01,34.08,99.41,49.17
CCI,18.65,27.82,3.38,97.96,43.05
CCJ,46.97,0.19,0.19,0.19,0.19
CCK,20.63,28.9,1.73,90.9,40.51
CCL,-0.42,91.02,-244.92,87.58,-22.11
CCLD,12.79,-28.83,-710.05,126.11,-204.26
CCNE,1.29,3.39,-3.81,105.51,35.03
CCO,28.21,-117.38,25.02,99.57,2.40
CCOEY,28.8,1.07,1.07,1.07,1.07
CCOI,4.02,-599.38,544.03,165.47,36.71
CCRD,-26.97,7.79,99.92,102.08,69.93
CCRN,34.41,-4.07,0.34,100.77,32.35
CCS,23.05,-8.23,-68.3,106.74,10.07
CCSI,6.01,-65.88,72.55,99.76,35.48
CDE,26.49,-212.62,34.78,147.61,-10.08
CDLR,39.73,39.73,39.73,39.73,39.73
CDLX,2.04,-138.11,25.99,134.33,7.40
CDMO,1.46,77.45,23.31,6.56,35.77
CDNA,40.22,-24.37,-57.55,126.35,14.81
CDNS,2.15,5.44,104.39,-8.01,33.94
CDP,14.34,12.87,26.95,86.97,42.26
CDRE,27.86,42.2,-49.28,120.26,37.73
CDRO,24.69,24.69,24.69,24.69,24.69
CDTX,41.16,147.02,-33.17,-42.87,23.66
CDW,26.64,84.15,44.57,-24.55,34.72
CDXC,5.12,22.29,44.32,51.74,39.45
CDXS,46.75,-20.56,78.77,54.59,37.60
CDZI,262.32,-14.71,53.15,73.34,37.26
CE,38.94,41.67,29.93,47.14,39.58
CECO,8.46,33.47,24.72,77.12,45.10
CEG,13.89,70.51,-36.56,69.75,34.57
CEIX,6.61,15.39,69.79,21.11,35.43
CELC,115.31,168.03,-76.04,115.31,69.10
CELH,51.36,84.21,250.1,107.25,147.19
CENT,5.54,57.96,12.57,50.54,40.36
CENTA,22.52,22.52,22.52,22.52,22.52
CENX,0.25,21.45,94.36,96.35,70.72
CEPU,-5.32,87.9,616.35,48.03,250.76
CERS,125.99,34.18,68.04,-7.04,31.73
CERT,33.21,46.24,45.72,38.08,43.35
CEVA,10.97,65.34,21.09,95.49,60.64
CF,-7.39,-2.45,-0.19,107.39,34.92
CFB,12.98,10.25,-6.74,93.88,32.46
CFFN,10.93,-46.27,11.06,139.2,34.66
CFG,5.07,45.06,13.13,56.14,38.11
CFLT,1.49,213.2,-195.06,-78.34,-20.07
CFR,-4.03,82.53,20.44,18.22,40.40
CG,5.55,-44.47,-149.28,225.98,10.74
CGAU,37.06,47.76,-24.22,97.68,40.41
CGBD,8.72,10.34,10.34,10.34,10.34
CGC,69.33,74.93,124.59,-123.41,25.37
CGEM,157.81,0.07,83.57,72.69,52.11
CGEMY,43.31,2.33,2.33,2.33,2.33
CGEN,159.74,22.4,97.08,-27.62,30.62
CGNT,-3.06,-167.5,46.41,114.27,-2.27
CGNX,20.5,42.19,12.41,50.55,35.05
CGON,87.65,87.65,87.65,87.65,87.65
CHCO,-3.13,45.25,8.81,57.3,37.12
CHCT,16.55,49.12,37.96,73.81,53.63
CHD,-0.76,37.36,47.59,19.55,34.83
CHDN,17.22,36.64,2.4,67.16,35.40
CHE,15.02,113.86,-2.83,-11.54,33.16
CHEF,11.11,-9.05,-37.94,102.31,18.44
CHGG,-33.67,-294.59,33.76,85.07,-58.59
CHH,-14.09,71.83,10.54,22.79,35.05
CHKP,6.9,129.55,-17.2,-12.74,33.20
CHMG,6.02,27.16,-9.63,84.44,33.99
CHMI,108.98,8.91,46.62,111.2,55.58
CHPT,72.41,72.41,72.41,72.41,72.41
CHRD,51.16,37.41,-29.96,111.69,39.71
CHRS,309.36,41.81,35.03,75.76,50.87
CHRW,7.36,36.79,5.69,66.68,36.39
CHT,13.35,3.87,3.87,3.87,3.87
CHTR,-1.91,-2.25,69.43,35.5,34.23
CHWY,4.1,77.79,-34.63,113.03,52.06
CHX,37.86,123.51,5.13,96.97,75.20
CI,21.1,34.65,25.69,49.26,36.53
CIA,12.11,-30.71,22.33,83.6,25.07
CIEN,-5.7,-180.38,169.73,113.12,34.16
CIFR,22.37,-24.77,-13.42,100.07,20.63
CIG,20.96,5.78,5.78,5.78,5.78
CIGI,12.3,-42.49,-1060.77,988.9,-38.12
CIM,18.93,2.39,19.24,102.92,41.52
CINF,1.43,-8.79,53.24,59.67,34.71
CIO,20.33,24.34,38.41,86.82,49.86
CION,15.57,9.94,9.94,9.94,9.94
CIVB,3.9,37.94,-48.63,96.37,28.56
CIVI,54.7,414.21,-54.92,163.71,174.33
CKPT,395.05,825.82,-580.52,21.28,88.86
CL,16.74,-24.47,66.55,64.19,35.42
CLAR,17.31,-88.71,117.16,98.25,42.23
CLB,1.25,31.94,37.11,37.27,35.44
CLBK,4.64,10.79,-5.47,92.27,32.53
CLBT,7.84,42.05,27.28,67.73,45.69
CLDI,196.21,196.21,196.21,196.21,196.21
CLDT,18.71,29.14,31.96,91.94,51.01
CLDX,163.16,176.08,4.66,820,333.58
CLF,9.5,32.15,27.49,67.98,42.54
CLFD,44,2.17,-18.21,106.65,30.20
CLGN,202.66,-19.82,116.59,99.52,65.43
CLH,4.99,40.58,-3.48,70.9,36.00
CLIR,421.74,-222.62,316.77,-11.47,27.56
CLLS,180.61,40.21,-32.4,90.03,32.61
CLMB,-0.16,36.98,27.47,50,38.15
CLMT,14.05,91.11,-56.76,99.12,44.49
CLNE,73.61,1.61,33.78,74.18,36.52
CLOV,23.53,64.43,8.22,-47.47,8.39
CLPHY,9.35,4.75,4.75,4.75,4.75
CLPMF,25,25,25,25,25.00
CLPT,41.67,-10.53,96.07,14.46,33.33
CLS,-19.48,-19.48,-19.48,-19.48,-19.48
CLSD,455.56,207.71,-115.49,58.55,50.26
CLSK,61.29,88.63,55.43,5.41,49.82
CLVT,4.9,-59.85,-15.31,133.63,19.49
CLW,37.34,47.39,-22.16,92.66,39.30
CLX,1.66,4.26,52.17,54.07,36.83
CLYM,217.46,217.46,217.46,217.46,217.46
CM,35.66,4.04,4.04,4.04,4.04
CMA,1.46,52.08,20.23,58.32,43.54
CMBM,108.33,35.01,59.66,95.77,63.48
CMC,-0.7,49.99,9.9,65.99,41.96
CMCL,75.07,31.4,134.59,106.83,90.94
CMCO,26.46,27.56,34.42,63.68,41.89
CMCSA,14.85,30.55,-13.83,92.45,36.39
CME,0.19,36.7,47.16,26.3,36.72
CMG,9.94,53.6,17.09,32.04,34.24
CMI,0.14,46.09,8.38,53.81,36.09
CMMB,420.23,420.23,420.23,420.23,420.23
CMP,32.62,3.98,3.98,3.98,3.98
CMPGY,3.74,1.63,1.63,1.63,1.63
CMPO,6.78,108.04,242.93,-147.86,67.70
CMPR,42.61,109.33,7.28,95.33,70.65
CMPS,290.8,290.8,290.8,290.8,290.80
CMPX,393.83,393.83,393.83,393.83,393.83
CMRE,9.57,-1.06,1.79,108.07,36.27
CMS,12.9,81.77,15.92,68.53,55.41
CMT,41.09,46.48,-5.21,72.18,37.82
CMTG,24.33,57.8,40.07,62.09,53.32
CMTL,118.58,74.81,-21.9,90.04,47.65
CMWAY,-34.09,3.33,3.33,3.33,3.33
CNA,4.7,39.04,44.43,81.54,55.00
CNC,39.99,-9.02,1.17,101.48,31.21
CNDT,71.57,3.83,40.07,95.19,46.36
CNH,8.89,53.5,66.44,66.31,62.08
CNI,60.86,2.2,2.2,2.2,2.20
CNK,-2.82,42.91,-45.72,117.14,38.11
CNM,0.39,0.39,0.39,0.39,0.39
CNMD,7.82,-18.39,13.69,98.38,31.23
CNNE,29.64,74.99,65.48,52.28,64.25
CNO,3.67,3.38,15.42,86.64,35.15
CNOB,8.38,-3.78,-1.76,111.35,35.27
CNP,-0.89,13.68,39.96,90.43,48.02
CNQ,66.13,4.69,4.69,4.69,4.69
CNS,1.41,9.82,5.64,90.4,35.29
CNSL,-7.05,348.37,-23.96,118.01,147.47
CNSP,382.63,382.63,382.63,382.63,382.63
CNTA,57.71,40.88,271.92,-112.75,66.68
CNTX,496.03,496.03,496.03,496.03,496.03
CNTY,25,1027.85,106.78,117.92,417.52
CNVS,102.7,36.54,71.48,43.07,50.36
CNX,-19.66,-0.02,39.33,95.83,45.05
CNXC,56.88,128.88,-75.93,53.74,35.56
CNXN,2.5,97.39,15.06,-4.49,35.99
COCH,179.07,57.25,-112.65,136.85,27.15
COCO,-7.69,47.2,6.7,54.9,36.27
COCP,250,36.68,14.42,80.99,44.03
CODA,21.28,-642.94,46.74,111.53,-161.56
CODI,32.42,-17.6,14.96,101.38,32.91
CODX,70.45,210.94,-307.3,164.04,22.56
COF,-0.09,31.47,-15.69,86.28,34.02
COFS,2.79,49.65,1.4,58.22,36.42
COGT,74.1,-34.78,186.84,-117.18,11.63
COHR,3.25,52.38,-3.82,95.9,48.15
COHU,10.91,19.58,9.69,87.97,39.08
COIN,-17.57,30.41,13.87,85.21,43.16
COLB,6.13,61.2,9.46,50.52,40.39
COLD,33.63,0.25,39.99,101.45,47.23
COLL,33.72,-925.65,-20.64,99.83,-282.15
COLM,-4.13,42.56,9.02,56.83,36.14
COMM,-16.49,-878.85,53.63,106.17,-239.68
COMP,-7.91,-211.13,27.3,261.19,25.79
CON,34.03,1.16,1.16,1.16,1.16
COO,11.84,15.89,-12.41,102.86,35.45
COOK,11.61,-98.78,47.8,142.48,30.50
COOP,12.67,113200.3,-1395613,1277869,-1514.57
COP,27.41,19.1,61.32,57.1,45.84
COR,8.86,8.17,17.77,81.69,35.88
CORT,27.37,27.38,-67.47,114.43,24.78
CORZ,15.71,15.71,15.71,15.71,15.71
COSM,279.75,27.56,-231.88,211.55,2.41
COST,-2.28,241.97,1.02,-149.75,31.08
COTY,33.16,-83.95,23.2,88.81,9.35
COUR,20.48,30.24,30.2,63.51,41.32
COVTY,8.77,8.77,8.77,8.77,8.77
COYA,152.48,152.48,152.48,152.48,152.48
CP,67.55,0.72,0.72,0.72,0.72
CPA,73.02,-0.16,39.02,81.37,40.08
CPAY,6.79,6.79,6.79,6.79,6.79
CPAY,6.79,138.43,21.31,-58.49,33.75
CPB,15.21,3.2,3.2,3.2,3.20
CPB,15.21,-2.19,31.73,81.24,36.93
CPF,5.87,254.57,-25.95,132.75,120.46
CPK,6.36,130.59,15.53,-37.26,36.29
CPKF,42.34,3.38,3.38,3.38,3.38
CPNG,25.42,170.22,-869.15,94.95,-201.33
CPRI,-5.95,46.96,18.01,53.86,39.61
CPRT,-1.99,146.82,9.86,-58.22,32.82
CPRX,42.79,-14.94,-41.46,123.72,22.44
CPS,38.79,8.36,81.9,99,63.09
CPSS,70.29,60.77,-17.48,93.96,45.75
CPT,6.9,36.34,14.21,79.82,43.46
CPTN,-0.31,67.4,106.16,-133.48,13.36
CQP,-10.01,44.34,34710.9,111.59,11622.28
CR,-0.54,0.45,0.45,0.45,0.45
CRAI,11.11,-4.66,22.81,87.86,35.34
CRBG,11.24,2.88,2.88,2.88,2.88
CRBP,258.21,193.2,-118.99,19.07,31.09
CRBU,429.95,129.55,-504.37,-33.89,-136.24
CRC,19.57,-11.85,12.94,94.62,31.90
CRCT,-8.67,113.64,23.53,-9.29,42.63
CRDF,221.04,105.63,-20.18,22.47,35.97
CRDO,6.1,6.1,6.1,6.1,6.10
CRESY,-1.53,-16.38,-66.59,142.18,19.74
CREX,135.69,114.61,-46.41,47.92,38.71
CRGO,93.37,93.37,93.37,93.37,93.37
CRGX,76.41,76.41,76.41,76.41,76.41
CRGY,8.92,145.5,20.42,102.88,89.60
CRH,12.6,113.51,-23.96,14.15,34.57
CRI,3.29,14.99,2.38,100.23,39.20
CRIS,392.61,25.03,72.02,63.8,53.62
CRK,-27.49,372.5,-12.51,108.57,156.19
CRL,10.39,15.65,23.19,66.43,35.09
CRLBF,127.27,127.27,127.27,127.27,127.27
CRM,7.59,32.8,-61.58,139.42,36.88
CRMD,77.66,289.74,6665.53,113.73,2356.33
CRMT,0.37,54.12,-40.06,85.83,33.30
CRNC,-9.47,-418.97,12.9,105.48,-100.20
CRNT,2.51,-4.08,57.06,77.07,43.35
CRNX,29.88,152.16,-72.73,10.84,30.09
CRON,39.75,-54.71,107.09,-0.99,17.13
CROX,24.94,55.86,37.07,48,46.98
CRRFY,34.15,6.56,6.56,6.56,6.56
CRS,0.31,33.44,14.82,79.84,42.70
CRSP,65.89,164.14,-22.69,118.89,86.78
CRSR,14.8,33.83,9.99,83.79,42.54
CRTO,23.64,33.5,3.38,68.54,35.14
CRUS,27.84,15.18,2.75,81.61,33.18
CRVO,429.87,67.38,44,5.88,39.09
CRVS,63.04,63.04,63.04,63.04,63.04
CRWD,8.59,52.73,93,0.73,48.82
CSBR,38.89,184.62,-217.45,75.77,14.31
CSCO,6.93,-6.08,66.67,47.76,36.12
CSGP,12.29,36.85,-14.56,77.08,33.12
CSGS,19.11,78.25,-9.22,39.34,36.12
CSIQ,27.19,18.84,-16.95,95.26,32.38
CSL,10.57,95.71,9,-1.57,34.38
CSLLY,21.62,1.45,1.45,1.45,1.45
CSLR,125,-95.7,-98.05,222.2,9.48
CSR,10.94,3.71,3.61,104.35,37.22
CSTE,17.51,77.94,17.37,76.66,57.32
CSTL,33.2,72.13,-102.07,72.26,14.11
CSTM,36.17,47.6,64.5,95.69,69.26
CSV,17.39,25.88,34.05,60.9,40.28
CSWC,18.31,-478.28,59.69,410.99,-2.53
CSWI,-2.61,38.63,67.73,-7.02,33.11
CSX,9.65,58.24,37.29,10.47,35.33
CTAS,-4.31,-41.27,57.34,87.23,34.43
CTBI,5.9,29.98,-11.01,85.02,34.66
CTGO,129.88,14.48,56.23,94.55,55.09
CTKB,26.77,-145.91,-13.41,157.23,-0.70
CTLP,32.45,39.26,17.21,49.84,35.44
CTLT,2.92,2.92,2.92,2.92,2.92
CTMX,199.19,84.9,432.82,39.52,185.75
CTNM,109.35,109.35,109.35,109.35,109.35
CTO,18.63,15.24,12.38,101.12,42.91
CTOR,105.48,105.48,105.48,105.48,105.48
CTOS,-5.17,-5.17,-5.17,-5.17,-5.17
CTRA,29.32,3.22,3.22,3.22,3.22
CTRE,20.58,3.98,3.98,3.98,3.98
CTRI,11.92,11.92,11.92,11.92,11.92
CTRN,17.65,28.82,53.33,71.94,51.36
CTS,-11.1,35.55,41.43,56.76,44.58
CTSH,4.01,131.02,43.56,-69.5,35.03
CTSO,321.05,130,-71.35,60.87,39.84
CTTAY,29.96,3.59,3.59,3.59,3.59
CTV,-25.99,126.03,-50.72,-16.32,19.66
CTVA,9.15,1.09,1.09,1.09,1.09
CTVA,9.15,17.6,5.54,95.38,39.51
CUBE,10.7,64.8,-536.84,74.84,-132.40
CUBI,5.61,-13.92,10.11,106.06,34.08
CUE,250.88,-76,192.64,-32.12,28.17
CUK,18.09,18.09,18.09,18.09,18.09
CURB,3.05,3.05,3.05,3.05,3.05
CURI,69.39,92.24,78.57,-71.27,33.18
CURLF,215.93,215.93,215.93,215.93,215.93
CURV,25.55,25.55,25.55,25.55,25.55
CUTR,266.3,266.3,266.3,266.3,266.30
CUZ,10.99,39.44,17.18,85.46,47.36
CVAC,65.89,102.86,-914.19,130.41,-226.97
CVBF,-5.15,93.88,8.85,12.64,38.46
CVCO,-3.27,-13.86,12.39,97.5,32.01
CVE,41.65,3.29,3.29,3.29,3.29
CVEO,42.85,-545.86,-20.36,147.44,-139.59
CVGI,150,92.91,18.91,93.29,68.37
CVGW,29.97,24.35,22.91,81.12,42.79
CVI,16.74,11.65,34.41,90.64,45.57
CVKD,128.41,128.41,128.41,128.41,128.41
CVLG,23.17,49.87,8.66,79.19,45.91
CVLT,6.81,39.02,25.6,71.24,45.29
CVNA,-2.25,-245.61,18.3,129.62,-32.56
CVRX,9.74,57.39,30.44,13.24,33.69
CVS,16.01,59.8,10.66,49.06,39.84
CVX,11.48,17.97,28.29,79.16,41.81
CW,3.33,108.95,29.58,-40.96,32.52
CWAN,11.41,40.31,-29.29,112.04,41.02
CWBC,5,64.26,-15.78,47.18,31.89
CWCO,49.92,41.67,-59.46,73.71,18.64
CWEN,39.96,30.91,39.92,76.45,49.09
CWH,20.74,35.97,25.3,76.12,45.80
CWK,5.26,-48.63,20.36,92.69,21.47
CWST,0.94,172.39,78.06,102.8,117.75
CWT,17.02,-7.88,36.32,80.29,36.24
CX,41.2,1.09,1.09,1.09,1.09
CXAI,218.47,218.47,218.47,218.47,218.47
CXDO,35.95,141.02,-73.25,100.07,55.95
CXM,9.09,9.09,9.09,9.09,9.09
CXT,22.22,50.21,79.84,-18.98,37.02
CXW,17.1,64.48,-30.47,103.8,45.94
CYBR,6.8,-70.11,-39.08,131.66,7.49
CYCC,123.21,158.76,-91.71,32.71,33.25
CYD,56.3,3.74,-2.08,109.5,37.05
CYH,47.06,222.27,8.23,108.55,113.02
CYN,139.52,-14321.15,13105.56,-84.14,-433.24
CYRX,47.85,85.48,7.48,81.19,58.05
CYTH,43.94,-0.02,95.91,91.74,62.54
CYTK,47.54,116.93,-37.51,56.89,45.44
CZFS,-11.95,2.76,2.76,2.76,2.76
CZNC,10.23,-74.48,4.27,167.46,32.42
CZR,38.82,76.7,77.19,81.49,78.46
CZWI,0.14,22.19,-24.29,98.36,32.09
D,12.3,38.46,16.59,68.06,41.04
DAC,27.37,67.73,55.3,75.2,66.08
DAKT,4.1,67.07,-42.89,60.63,28.27
DAL,21.61,-2.34,47,91.81,45.49
DAN,-5.56,64.84,39.33,96.64,66.94
DANOY,1.03,3.3,3.3,3.3,3.30
DAR,28.1,52.57,25.33,32.63,36.84
DARE,296.34,71.93,41.11,15.09,42.71
DASH,0.8,-68.87,-69.65,196.48,19.32
DASTY,19.21,0.74,0.74,0.74,0.74
DAVA,1.04,-57.23,193.01,-44.16,30.54
DAVE,14.9,-1014.81,1093.2,477.77,185.39
DAWN,186.98,186.98,186.98,186.98,186.98
DAY,1.25,-339.83,962.95,102.45,241.86
DBD,24.06,24.06,24.06,24.06,24.06
DBI,2.59,34.34,31.08,79.69,48.37
DBOEY,-3.37,1.77,1.77,1.77,1.77
DBRG,25.97,0.99,97.27,3.72,33.99
DBSDY,7.91,4.96,4.96,4.96,4.96
DBX,-4.28,-87.18,25.65,94.97,11.15
DC,209.58,209.58,209.58,209.58,209.58
DCBO,21.14,241.57,29.87,94.54,121.99
DCGO,463.14,31.67,15.79,73.39,40.28
DCI,5.95,76.04,18.27,11.17,35.16
DCO,27.89,47.04,-81.78,88.67,17.98
DCOM,11.6,-18.45,-19.63,133.41,31.78
DCTH,81.28,141.42,-45.72,-3,30.90
DD,22.39,31.29,-519.89,128.72,-119.96
DDC,488.24,488.24,488.24,488.24,488.24
DDD,24.08,-677.99,168.27,113.48,-132.08
DDI,57.66,56.78,15.76,88.57,53.70
DDL,443.38,403.52,-294.05,-40.74,22.91
DDOG,-2.26,15.9,-82.42,175.77,36.42
DDS,-20.85,80.64,-10.87,39.23,36.33
DE,1.61,63.81,19.83,31.06,38.23
DEA,16.93,-4.01,19.03,106.27,40.43
DEC,24.37,7.25,7.25,7.25,7.25
DECK,-6.34,24.9,13.9,68.5,35.77
DEI,3.11,42.64,43.6,87.51,57.92
DELL,22.32,60.59,-7.91,98.58,50.42
DENN,18.48,-30.75,131.02,121.67,73.98
DEO,11.96,3.46,3.46,3.46,3.46
DERM,78.25,-30.38,-45.68,123.74,15.89
DESP,8.88,-94.94,141.31,102.63,49.67
DFH,-7.1,-170.82,37.82,268.48,45.16
DFIN,26.87,55.91,42.03,8.62,35.52
DFLI,300.49,-296.17,76.04,124.13,-32.00
DFS,-5.98,15.9,-77.74,168.89,35.68
DG,19.46,130.05,1.29,-24.31,35.68
DGHI,21.36,-129.94,281.91,126.04,92.67
